"date","cohort","block","trt","rep","obs","height","numDam","numLeaf","areaLeaf","areaDam","alive","notes","additional.notes","species"
2017-04-11,1,"G","L",1,"Rachel","14.5","0",30,23,0,1,"","","t"
2017-04-11,1,"G","L",2,"Rachel","15.5","0",29,25,0,1,"","","t"
2017-04-11,1,"G","U",3,"Rachel","13","0",24,20,0,1,"","","t"
2017-04-11,1,"G","L",4,"Rachel","14","0",26,23,0,1,"","","t"
2017-04-11,1,"G","U",5,"Rachel","14.5","0",27,24,0,1,"","","t"
2017-04-11,1,"G","L",6,"Rachel","14","0",25,26,0,1,"","","t"
2017-04-11,1,"G","L",7,"Rachel","12","0",20,14,0,1,"","","t"
2017-04-11,1,"G","L",8,"Rachel","11","0",22,23,0,1,"","","t"
2017-04-11,1,"G","LP",9,"Rachel","14","0",23,18,0,1,"","","t"
2017-04-11,1,"G","L",10,"Rachel","11","0",25,18,0,1,"","","t"
2017-04-11,1,"G","LP",11,"Rachel","14","0",13,23,0,1,"","","t"
2017-04-11,1,"G","U",12,"Rachel","13","0",23,17,0,1,"","","t"
2017-04-11,1,"G","L",13,"Rachel","13","0",24,19,0,1,"","","t"
2017-04-11,1,"G","LP",14,"Rachel","12.5","0",25,15,0,1,"","","t"
2017-04-11,1,"G","U",15,"Rachel","10","0",17,13,0,1,"","","t"
2017-04-11,1,"G","LP",16,"Asia","14","0",18,12,0,1,"","","t"
2017-04-11,1,"G","LP",17,"Asia","12.8","0",25,15,0,1,"","","t"
2017-04-11,1,"G","U",18,"Asia","12.1","0",35,17.5,0,1,"","","t"
2017-04-11,1,"G","U",19,"Asia","15.7","0",26,13,0,1,"","","t"
2017-04-11,1,"G","U",20,"Asia","14.5","0",31,16.5,0,1,"","","t"
2017-04-11,1,"G","LP",21,"Asia","14.5","0",26,18,0,1,"","","t"
2017-04-11,1,"G","LP",22,"Asia","12.1","0",27,13.5,0,1,"","","t"
2017-04-11,1,"G","U",23,"Asia","13.8","0",25,12.5,0,1,"","","t"
2017-04-11,1,"G","U",24,"Asia","13.5","1",31,14,3,1,"","","t"
2017-04-11,1,"G","LP",25,"Asia","12.5","0",19,13.5,0,1,"","","t"
2017-04-11,1,"G","LP",26,"Asia","15.6","0",26,17,0,1,"","","t"
2017-04-11,1,"G","LP",27,"Asia","13.8","0",32,18,0,1,"","","t"
2017-04-11,1,"G","U",28,"Asia","12.1","0",32,15.5,0,1,"","","t"
2017-04-11,1,"G","L",29,"Asia","12.3","0",28,16.5,0,1,"","","t"
2017-04-11,1,"G","L",30,"Asia","12.4","0",24,12,0,1,"","","t"
2017-04-11,1,"R","U",1,"Louie","10.5","0",21,19,0,1,"","","t"
2017-04-11,1,"R","LP",2,"Louie","13","0",23,20,0,1,"","","t"
2017-04-11,1,"R","U",3,"Louie","13","0",20,23,0,1,"","","t"
2017-04-11,1,"R","L",4,"Louie","14.5","0",23,27,0,1,"","","t"
2017-04-11,1,"R","U",5,"Louie","10","0",28,24,0,1,"","","t"
2017-04-11,1,"R","L",6,"Louie","14","0",24,24,0,1,"","","t"
2017-04-11,1,"R","L",7,"Louie","13","0",21,18,0,1,"","","t"
2017-04-11,1,"R","LP",8,"Louie","14","0",26,24,0,1,"","","t"
2017-04-11,1,"R","L",9,"Louie","11","0",26,10,0,1,"","","t"
2017-04-11,1,"R","L",10,"Louie","14","0",23,25,0,1,"","","t"
2017-04-11,1,"R","U",11,"Louie","13","0",23,26,0,1,"","","t"
2017-04-11,1,"R","L",12,"Louie","13","0",25,25,0,1,"","","t"
2017-04-11,1,"R","U",13,"Louie","13","0",19,19,0,1,"","","t"
2017-04-11,1,"R","LP",14,"Louie","12","0",28,22,0,1,"","","t"
2017-04-11,1,"R","L",15,"Louie","14","0",24,23,0,1,"","","t"
2017-04-11,1,"R","LP",16,"Louie","14","0",23,31,0,1,"","","t"
2017-04-11,1,"R","LP",17,"John","14","0",20,24,0,1,"","","t"
2017-04-11,1,"R","LP",18,"John","12","0",24,25,0,1,"","","t"
2017-04-11,1,"R","L",19,"John","10.5","0",19,22,0,1,"","","t"
2017-04-11,1,"R","L",20,"John","12","0",26,22,0,1,"","","t"
2017-04-11,1,"R","LP",21,"John","12.5","0",18,19,0,1,"","","t"
2017-04-11,1,"R","U",22,"John","8.5","0",19,14,0,1,"","","t"
2017-04-11,1,"R","LP",23,"John","14","0",17,20,0,1,"","","t"
2017-04-11,1,"R","LP",24,"John","12","0",18,25,0,1,"","","t"
2017-04-11,1,"R","U",25,"Robert","12","0",18,25,0,1,"","","t"
2017-04-11,1,"R","U",26,"Robert","11","0",22,23,0,1,"","","t"
2017-04-11,1,"R","LP",27,"Robert","19","0",26,26,0,1,"","","t"
2017-04-11,1,"R","U",28,"Robert","12","0",20,31,0,1,"","","t"
2017-04-11,1,"R","U",29,"Robert","12","0",23,30,0,1,"","","t"
2017-04-11,1,"R","L",30,"Robert","10","0",27,27,0,1,"","","t"
2017-04-11,1,"B","LP",1,"Kyle","8","0",35,23,0,1,"","","t"
2017-04-11,1,"B","U",2,"Kyle","9","0",29,25,0,1,"","","t"
2017-04-11,1,"B","U",3,"Kyle","12","0",30,25,0,1,"","","t"
2017-04-11,1,"B","LP",4,"Kyle","12","0",29,30,0,1,"","","t"
2017-04-11,1,"B","L",5,"Kyle","13","0",28,30,0,1,"","","t"
2017-04-11,1,"B","U",6,"Kyle","9","0",32,17,0,1,"","","t"
2017-04-11,1,"B","LP",7,"Kyle","9.5","2",30,27,2,1,"","","t"
2017-04-11,1,"B","L",8,"Kyle","10","0",29,17,0,1,"","","t"
2017-04-11,1,"B","LP",9,"Kyle","10","0",24,19,0,1,"","","t"
2017-04-11,1,"B","U",10,"Kyle","12","0",29,29,0,1,"","","t"
2017-04-11,1,"B","LP",11,"Ashley","8.9","0",21,17,0,1,"","","t"
2017-04-11,1,"B","L",12,"Ashley","11.6","0",27,27,0,1,"","","t"
2017-04-11,1,"B","U",13,"Ashley","4","0",20,14,0,1,"","","t"
2017-04-11,1,"B","L",14,"Ashley","10","0",24,22,0,1,"","","t"
2017-04-11,1,"B","U",15,"Ashley","10.5","0",23,23,0,1,"","","t"
2017-04-11,1,"B","LP",16,"Ashley","13.5","0",24,23.5,0,1,"","","t"
2017-04-11,1,"B","LP",17,"Ashley","13","0",24,29,0,1,"","","t"
2017-04-11,1,"B","U",18,"Cameron","21","0",33,23,0,1,"","","t"
2017-04-11,1,"B","U",19,"Cameron","9.6","0",32,12,0,1,"","","t"
2017-04-11,1,"B","LP",20,"Cameron","9.2","0",30,20,0,1,"","","t"
2017-04-11,1,"B","L",21,"Cameron","13","0",31,12,0,1,"","","t"
2017-04-11,1,"B","L",22,"Cameron","12.3","0",29,9,0,1,"","","t"
2017-04-11,1,"B","LP",23,"Cameron","11.2","0",35,9,0,1,"","","t"
2017-04-11,1,"B","U",24,"Cameron","8.1","0",27,9,0,1,"","","t"
2017-04-11,1,"B","L",25,"Cameron","7.5","0",27,10,0,1,"","","t"
2017-04-11,1,"B","LP",26,"Cameron","10.5","0",32,15,0,1,"","","t"
2017-04-11,1,"B","L",27,"Cameron","12.2","0",30,19,0,1,"","","t"
2017-04-11,1,"B","L",28,"Cameron","11.7","0",31,19,0,1,"","","t"
2017-04-11,1,"B","U",29,"Cameron","11","0",31,17,0,1,"","","t"
2017-04-11,1,"B","L",30,"Cameron","14.3","0",33,20,0,1,"","","t"
2017-04-18,1,"G","L",1,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","W","t"
2017-04-18,1,"G","L",2,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","W","t"
2017-04-18,1,"G","U",3,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","","t"
2017-04-18,1,"G","L",4,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","W","t"
2017-04-18,1,"G","U",5,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","W","t"
2017-04-18,1,"G","L",6,"Louie/Keatyn",NA,NA,NA,NA,NA,0,"","W","t"
