seq.ID,date,Block,Treatment,Rep,StartTimeDay,EndTimeDay,flyStartDay,flyEndDay,StartTimeNight,EndTimeNight,flyStartNight,flyEndNight
1,5/11/2017,G,L,1,13:47,15:47,4,4,22:21,0:21,4,4
2,5/11/2017,G,L,2,,,4,4,,,4,2
3,5/11/2017,G,U,3,,,4,4,,,4,4
4,5/11/2017,G,L,4,,,4,3,,,4,3
5,5/11/2017,G,U,5,,,4,4,,,4,4
6,5/11/2017,G,L,6,,,4,4,,,4,3
7,5/11/2017,G,L,7,,,4,4,,,4,0
8,5/11/2017,G,L,8,,,4,4,,,4,3
9,5/11/2017,G,LP,9,,,4,4,,,4,4
10,5/11/2017,G,L,10,,,4,4,,,4,0
11,5/11/2017,G,LP,11,,,4,4,,,4,0
12,5/11/2017,G,U,12,,,4,4,,,4,4
13,5/11/2017,G,L,13,,,4,4,,,4,4
14,5/11/2017,G,LP,14,,,4,4,,,4,3
15,5/11/2017,G,U,15,,,3,1,,,4,4
16,5/11/2017,G,LP,16,,,4,4,,,4,2
17,5/11/2017,G,LP,17,,,4,4,,,4,3
18,5/11/2017,G,U,18,,,4,3,,,4,2
19,5/11/2017,G,U,19,,,4,4,,,4,4
20,5/11/2017,G,U,20,,,4,4,,,4,0
21,5/11/2017,G,LP,21,,,4,3,,,4,4
22,5/11/2017,G,LP,22,,,3,3,,,4,2
23,5/11/2017,G,U,23,,,3,3,,,4,3
24,5/11/2017,G,U,24,,,4,4,,,4,4
25,5/11/2017,G,LP,25,,,4,4,,,4,0
26,5/11/2017,G,LP,26,,,4,4,,,4,0
27,5/11/2017,G,LP,27,,,4,4,,,3,0
28,5/11/2017,G,U,28,,,4,4,,,2,2
29,5/11/2017,G,L,29,,,4,4,,,2,0
30,5/11/2017,G,L,30,13:56,15:54,4,4,22:34,0:30,4,0
31,5/11/2017,R,U,1,13:50,15:50,4,4,22:19,0:19,4,4
32,5/11/2017,R,LP,2,,,4,4,,,4,0
33,5/11/2017,R,U,3,,,4,3,,,4,2
34,5/11/2017,R,L,4,,,4,0,,,4,0
35,5/11/2017,R,U,5,,,3,3,,,4,4
36,5/11/2017,R,L,6,,,4,4,,,4,4
37,5/11/2017,R,L,7,,,4,4,,,4,0
38,5/11/2017,R,LP,8,,,4,4,,,4,0
39,5/11/2017,R,L,9,,,4,4,,,4,3
40,5/11/2017,R,L,10,,,4,0,,,4,0
41,5/11/2017,R,U,11,,,4,4,,,4,4
42,5/11/2017,R,L,12,,,4,4,,,4,0
43,5/11/2017,R,U,13,,,4,4,,,4,4
44,5/11/2017,R,LP,14,,,4,4,,,4,0
45,5/11/2017,R,L,15,,,4,4,,,4,0
46,5/11/2017,R,LP,16,,,4,4,,,3,0
47,5/11/2017,R,LP,17,,,4,4,,,4,0
48,5/11/2017,R,LP,18,,,4,4,,,4,0
49,5/11/2017,R,L,19,,,4,3,,,2,0
50,5/11/2017,R,L,20,,,4,4,,,3,3
51,5/11/2017,R,LP,21,,,4,0,,,4,0
52,5/11/2017,R,U,22,,,4,4,,,4,4
53,5/11/2017,R,LP,23,,,4,4,,,4,0
54,5/11/2017,R,LP,24,,,4,4,,,4,0
55,5/11/2017,R,U,25,,,4,1,,,4,4
56,5/11/2017,R,U,26,,,4,4,,,4,4
57,5/11/2017,R,LP,27,,,4,3,,,4,0
58,5/11/2017,R,U,28,,,4,4,,,4,3
59,5/11/2017,R,U,29,,,3,0,,,4,4
60,5/11/2017,R,L,30,14:08,15:58,2,2,22:36,,3,3
61,5/11/2017,B,LP,1,13:48,15:48,4,4,22:19,0:19,4,0
62,5/11/2017,B,U,2,,,4,4,,,4,0
63,5/11/2017,B,U,3,,,4,4,,,4,0
64,5/11/2017,B,LP,4,,,4,4,,,4,4
65,5/11/2017,B,L,5,,,4,4,,,4,0
66,5/11/2017,B,U,6,,,4,4,,,4,4
67,5/11/2017,B,LP,7,,,4,4,,,3,2
68,5/11/2017,B,L,8,,,4,4,,,4,3
69,5/11/2017,B,LP,9,,,4,4,,,4,1
70,5/11/2017,B,U,10,,,4,4,,,4,4
71,5/11/2017,B,LP,11,,,4,4,,,4,0
72,5/11/2017,B,L,12,,,4,4,,,4,4
73,5/11/2017,B,U,13,,,4,4,,,4,4
74,5/11/2017,B,L,14,,,4,4,,,4,4
75,5/11/2017,B,U,15,,,4,3,,,4,4
76,5/11/2017,B,LP,16,,,4,4,,,4,0
77,5/11/2017,B,LP,17,,,4,4,,,4,4
78,5/11/2017,B,U,18,,,4,4,,,3,3
79,5/11/2017,B,U,19,,,4,4,,,4,4
80,5/11/2017,B,LP,20,,,4,4,,,4,1
81,5/11/2017,B,L,21,,,4,4,,,4,4
82,5/11/2017,B,L,22,,,4,3,,,4,3
83,5/11/2017,B,LP,23,,,4,0,,,4,4
84,5/11/2017,B,U,24,,,4,4,,,4,2
85,5/11/2017,B,L,25,,,4,4,,,4,3
86,5/11/2017,B,LP,26,,,4,4,,,4,0
87,5/11/2017,B,L,27,,,4,4,,,4,0
88,5/11/2017,B,L,28,,,4,4,,,4,0
89,5/11/2017,B,U,29,,,4,4,,,3,3
90,5/11/2017,B,L,30,14:02,16:01,4,2,22:32,,3,3
