"block","treatment","plant"
"G","L","1"
"G","L","2"
"G","U","3"
"G","L","4"
"G","U","5"
"G","L","6"
"G","L","7"
"G","L","8"
"G","L_P","9"
"G","L","10"
"G","L_P","11"
"G","U","12"
"G","L","13"
"G","L_P","14"
"G","U","15"
"G","L_P","16"
"G","L_P","17"
"G","U","18"
"G","U","19"
"G","U","20"
"G","L_P","21"
"G","L_P","22"
"G","U","23"
"G","U","24"
"G","L_P","25"
"G","L_P","26"
"G","L_P","27"
"G","U","28"
"G","L","29"
"G","L","30"
"R","U","1"
"R","L_P","2"
"R","U","3"
"R","L","4"
"R","U","5"
"R","L","6"
"R","L","7"
"R","L_P","8"
"R","L","9"
"R","L","10"
"R","U","11"
"R","L","12"
"R","U","13"
"R","L_P","14"
"R","L","15"
"R","L_P","16"
"R","L_P","17"
"R","L_P","18"
"R","L","19"
"R","L","20"
"R","L_P","21"
"R","U","22"
"R","L_P","23"
"R","L_P","24"
"R","U","25"
"R","U","26"
"R","L_P","27"
"R","U","28"
"R","U","29"
"R","L","30"
"B","L_P","1"
"B","U","2"
"B","U","3"
"B","L_P","4"
"B","L","5"
"B","U","6"
"B","L_P","7"
"B","L","8"
"B","L_P","9"
"B","U","10"
"B","L_P","11"
"B","L","12"
"B","U","13"
"B","L","14"
"B","U","15"
"B","L_P","16"
"B","L_P","17"
"B","U","18"
"B","U","19"
"B","L_P","20"
"B","L","21"
"B","L","22"
"B","L_P","23"
"B","U","24"
"B","L","25"
"B","L_P","26"
"B","L","27"
"B","L","28"
"B","U","29"
"B","L","30"
